,player,pos,team,season,games_played,corsi_for,corsi_ag,corsi_for%,corsi_for%_rel,corsi/60,corsi_rel/60,fen_for,fen_ag,fen_for%,fen_for%_rel,team_onice_sh%,team_onice_sv%,pdo,off_zs%,def_zs%,toi/game,faceoffs_won,faceoffs_lost,faceoff%,hits,blocks,takeaways,giveaways
1534,Drew Stafford,RW,BUF,2013-14,70,1120,1333,45.7,1.2,-9.8,-3.9,835,1051,44.3,-0.7,8.3,90.8,99.1,51.0,49.0,18.6,106,91,53.8,78,25,24,30
1535,Bobby Ryan,RW,ANA,2008-09,64,1109,639,63.4,14.0,28.5,29.0,882,522,62.8,13.4,13.6,89.3,102.8,73.4,26.6,15.4,6,7,46.2,78,10,22,39
1536,Peter Holland,C,TOR,2015-16,65,1058,724,59.4,6.6,21.0,17.9,794,560,58.6,7.0,6.6,90.7,97.3,57.9,42.1,14.7,216,249,46.5,78,19,34,21
1537,Carl Hagelin,LW,NYR,2011-12,64,882,801,52.4,1.0,5.0,3.5,662,561,54.1,-0.3,10.6,91.9,102.5,52.9,47.1,15.0,1,5,16.7,78,23,31,18
1538,Mark Arcobello,C,EDM,2013-14,41,531,633,45.6,-6.0,-9.9,-11.5,388,477,44.9,-5.7,8.1,90.5,98.6,44.7,55.3,15.1,206,198,51.0,78,23,18,13
1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,Nick Foligno,LW,OTT,2009-10,61,803,654,55.1,4.1,10.2,9.1,593,476,55.5,3.9,9.2,93.2,102.4,59.1,40.9,14.3,17,33,34.0,78,23,36,12
1541,David Perron,LW,STL,2008-09,81,1159,785,59.6,12.8,19.1,22.2,902,603,59.9,11.7,10.7,92.5,103.2,75.2,24.8,14.5,1,5,16.7,78,18,31,24
1542,Olli Jokinen,C,FLA,2007-08,82,1814,1369,57.0,10.8,16.4,20.3,1411,1092,56.4,10.5,9.2,91.3,100.5,60.4,39.6,19.9,404,534,43.1,78,25,30,43
1543,Curtis Glencross,LW,CGY,2009-10,67,962,940,50.6,-2.5,1.3,-2.2,705,699,50.2,-1.8,8.1,93.2,101.3,49.1,50.9,15.5,9,14,39.1,78,28,49,37
1544,Colton Orr,RW,TOR,2012-13,44,177,291,37.8,-9.2,-24.3,-20.5,136,213,39.0,-7.6,9.0,96.6,105.6,50.9,49.1,6.4,0,1,0.0,78,17,4,5
1545,Anze Kopitar,C,LAK,2015-16,81,1841,1380,57.2,1.5,16.4,10.2,1391,1044,57.1,1.7,11.3,91.3,102.5,49.7,50.3,20.9,950,826,53.5,78,65,43,45
1546,Jordan Nolan,C,LAK,2015-16,52,419,421,49.9,-8.2,-0.3,-8.2,306,325,48.5,-9.1,5.4,95.5,100.8,53.6,46.4,8.9,0,1,0.0,78,8,4,8
1547,Matt Stajan,C,CGY,2015-16,80,728,1104,39.7,-14.2,-22.2,-26.6,537,765,41.2,-12.7,8.0,89.9,97.9,30.8,69.2,12.7,373,415,47.3,77,45,34,34
1548,Adam Hall,RW,PHI,2013-14,80,453,858,34.6,-20.5,-30.9,-37.0,327,617,34.6,-20.2,6.8,88.7,95.4,18.1,81.9,9.8,314,213,59.6,77,46,18,6
1549,Raitis Ivanans,LW,LAK,2009-10,61,188,244,43.5,-8.2,-11.2,-13.0,139,186,42.8,-9.8,1.1,93.0,94.1,56.0,44.0,4.9,0,0,,77,4,0,10
1550,Eric Boulton,LW,ATL,2008-09,76,431,566,43.2,-6.2,-14.1,-13.5,352,424,45.4,-3.8,7.1,93.3,100.4,49.5,50.5,7.5,1,3,25.0,77,13,12,12
1551,Adam Burish,C,DAL,2010-11,63,626,1006,38.4,-14.4,-25.2,-28.2,471,703,40.1,-13.4,7.6,92.3,99.9,26.0,74.0,14.3,255,222,53.5,77,70,14,13
1552,Colton Sceviour,C,DAL,2014-15,71,957,793,54.7,2.3,10.9,5.6,689,552,55.5,3.2,9.5,90.1,99.6,53.3,46.7,12.7,30,41,42.3,77,41,24,21
1553,Shawn Thornton,RW,BOS,2012-13,45,317,334,48.7,-6.6,-2.8,-9.0,230,247,48.2,-7.0,6.0,95.2,101.2,61.4,38.6,8.1,7,10,41.2,77,13,11,3
1554,Alex Killorn,C,TBL,2013-14,82,1319,1102,54.5,6.3,9.5,11.4,1004,844,54.3,5.3,9.9,91.7,101.6,56.3,43.7,16.8,74,98,43.0,77,31,32,43
1555,Tomas Kopecky,RW,CHI,2010-11,81,1301,913,58.8,6.5,18.8,16.4,966,682,58.6,5.9,9.9,88.3,98.3,66.3,33.7,15.3,120,164,42.3,77,24,50,25
1556,Cody McCormick,C,BUF,2014-15,33,200,482,29.3,-9.5,-43.8,-19.8,143,342,29.5,-9.5,5.6,90.6,96.1,24.3,75.7,11.7,147,144,50.5,77,29,3,10
1557,Milan Michalek,RW,OTT,2009-10,66,1134,1068,51.5,0.4,3.3,2.1,846,812,51.0,-1.8,9.4,89.7,99.1,59.7,40.3,18.0,4,4,50.0,77,30,36,15
1558,Mikkel Boedker,LW,PHX,2012-13,48,874,774,53.0,2.4,6.8,6.1,659,588,52.8,1.9,7.8,92.7,100.5,63.6,36.4,18.5,1,10,9.1,77,17,27,13
1559,Daniel Paille,LW,BOS,2014-15,71,575,827,41.0,-13.6,-18.5,-28.8,433,618,41.2,-12.2,4.4,92.6,97.0,45.8,54.2,11.5,2,5,28.6,77,34,29,26
1560,T.J. Oshie,RW,STL,2013-14,79,1517,1177,56.3,3.8,13.6,11.1,1108,861,56.3,3.5,11.7,91.0,102.7,56.0,44.0,19.0,28,38,42.4,77,54,62,21
1561,Alexei Ponikarovsky,LW,TOR,2007-08,66,1176,845,58.2,7.8,18.9,18.4,911,661,58.0,7.4,9.2,89.4,98.7,59.8,40.2,15.9,1,3,25.0,77,21,22,28
1562,Dainius Zubrus,C,NJD,2007-08,82,1239,859,59.1,7.8,17.7,16.6,943,684,58.0,7.2,8.8,91.8,100.6,63.3,36.7,15.7,80,64,55.6,77,17,35,21
1563,Jonathan Cheechoo,RW,OTT,2009-10,61,728,542,57.3,7.8,15.5,16.0,565,390,59.2,8.4,6.2,87.2,93.4,59.4,40.6,11.8,4,6,40.0,77,18,16,16
1564,Lee Stempniak,RW,TOT,2014-15,71,844,759,52.7,2.7,0.0,0.0,607,585,50.9,0.7,9.0,92.9,101.9,48.9,51.1,,13,19,40.6,77,23,17,28
1565,T.J. Galiardi,LW,CGY,2013-14,62,756,858,46.8,-3.3,-6.8,-6.9,566,606,48.3,-2.4,7.3,88.9,96.2,47.4,52.6,14.6,62,93,40.0,77,43,23,16
1566,Anthony Stewart,RW,FLA,2008-09,59,352,449,43.9,-5.0,-12.9,-11.8,270,355,43.2,-5.5,3.5,94.9,98.4,45.2,54.8,7.6,1,2,33.3,77,7,14,9
1567,Ryan Strome,RW,NYI,2015-16,71,1138,1013,52.9,3.6,6.7,7.5,851,736,53.6,3.4,8.4,90.2,98.6,60.9,39.1,15.7,39,56,41.1,77,19,35,38
1568,Vincent Lecavalier,C,PHI,2013-14,69,1056,936,53.0,2.6,6.9,6.4,792,712,52.7,1.6,8.6,90.3,98.9,63.8,36.3,15.2,200,248,44.6,77,19,16,27
1569,Nick Tarnasky,C,FLA,2009-10,31,134,233,36.5,-9.3,-28.1,-22.6,99,170,36.8,-10.3,4.1,94.0,98.1,45.9,54.1,6.8,0,0,,77,11,4,3
1570,Craig Smith,C,NSH,2014-15,82,1537,1000,60.6,11.0,25.0,26.0,1175,760,60.7,10.7,8.9,91.2,100.1,71.7,28.3,15.7,13,18,41.9,77,17,41,53
1571,Ryan Carter,C,MIN,2014-15,53,370,513,41.9,-12.2,-16.1,-25.0,283,366,43.6,-11.4,7.7,90.8,98.5,29.6,70.4,10.1,29,40,42.0,77,30,14,2
1572,Bill Guerin,RW,PIT,2009-10,78,1686,983,63.2,15.2,31.3,33.5,1277,723,63.9,14.5,9.6,88.7,98.2,73.0,27.0,17.3,14,14,50.0,77,13,9,38
1573,Dustin Penner,LW,EDM,2008-09,78,1277,913,58.3,13.7,18.2,24.3,948,684,58.1,13.7,11.0,91.0,102.0,64.6,35.4,15.4,54,60,47.4,77,33,26,54
1574,Brandon Yip,RW,COL,2010-11,71,804,905,47.0,-2.6,-6.2,-5.8,627,678,48.0,-1.1,7.6,88.8,96.4,55.7,44.3,13.7,5,9,35.7,77,21,20,17
1575,Andrew Murray,C,CBJ,2010-11,29,268,284,48.6,-3.3,-2.9,-4.4,203,211,49.0,-2.4,5.1,93.8,98.9,34.6,65.4,11.4,19,22,46.3,77,14,10,1
1576,Patrice Bergeron,C,BOS,2015-16,80,1844,1311,58.4,11.3,20.2,23.3,1407,963,59.4,12.2,9.3,89.9,99.1,48.8,51.2,19.8,1130,848,57.1,77,56,67,34
1577,Aaron Volpatti,LW,WSH,2013-14,41,194,293,39.8,-8.3,-19.7,-17.5,138,208,39.9,-8.4,4.0,95.4,99.4,53.5,46.5,7.4,4,8,33.3,77,10,6,1
1578,Maxime Talbot,C,PIT,2009-10,45,429,525,45.0,-11.5,-10.5,-17.5,325,391,45.4,-11.4,7.4,88.0,95.4,43.4,56.6,12.2,68,97,41.2,77,14,7,7
1579,Patric Hornqvist,RW,NSH,2013-14,76,1390,1023,57.6,12.3,17.2,21.7,1073,732,59.4,13.7,10.2,90.5,100.7,62.3,37.7,16.9,0,6,0.0,77,34,53,13
1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Luke Gazdic,LW,EDM,2014-15,40,211,286,42.5,-5.5,-15.2,-11.0,149,197,43.1,-4.0,5.8,92.0,97.8,55.1,44.9,7.4,0,0,,76,15,1,7
1582,Petr Prucha,LW,TOT,2008-09,47,648,532,54.9,1.4,0.0,0.0,499,392,56.0,2.6,7.4,90.9,98.3,55.5,44.5,,1,7,12.5,76,24,13,11
1583,Mikael Samuelsson,RW,VAN,2010-11,75,1445,934,60.7,11.8,24.6,25.7,1068,715,59.9,11.8,9.8,92.7,102.5,57.7,42.3,16.6,9,19,32.1,76,21,25,36
1584,Liam Reddox,LW,EDM,2010-11,44,470,694,40.4,-11.3,-20.4,-22.2,347,510,40.5,-9.9,5.3,89.0,94.3,37.7,62.3,15.0,41,83,33.1,76,24,23,12
1585,Lars Eller,C,MTL,2014-15,77,972,1157,45.7,-3.6,-9.3,-7.7,720,822,46.7,-2.5,8.2,91.1,99.3,37.1,62.9,15.5,405,374,52.0,76,37,29,30
1586,Todd Marchant,C,ANA,2008-09,72,625,1068,36.9,-20.5,-25.4,-33.3,509,856,37.3,-19.8,7.0,90.9,98.0,29.3,70.7,14.5,298,295,50.3,76,40,34,20
1587,Barclay Goodrow,RW,SJS,2014-15,60,564,629,47.3,-5.7,-5.9,-12.8,407,446,47.7,-5.3,7.5,93.3,100.7,47.6,52.4,11.1,12,11,52.2,76,24,27,24
1588,Jay McClement,C,TOR,2012-13,48,373,909,29.1,-22.4,-43.9,-45.8,272,650,29.5,-21.2,11.4,92.3,103.8,20.5,79.5,15.2,203,190,51.7,76,39,30,17
1589,Chris Higgins,LW,MTL,2007-08,82,1445,1382,51.1,3.3,2.6,5.2,1053,993,51.5,3.8,10.4,92.9,103.3,53.9,46.1,17.9,22,40,35.5,76,65,50,18
1590,Pavel Datsyuk,C,DET,2011-12,70,1495,910,62.2,9.7,25.6,23.0,1158,687,62.8,9.4,9.9,91.2,101.2,54.0,46.0,19.6,702,547,56.2,76,31,97,40
1591,Claude Giroux,RW,PHI,2009-10,82,1425,1106,56.3,5.4,14.0,13.0,1053,776,57.6,5.5,8.7,89.9,98.6,59.9,40.1,16.6,297,303,49.5,76,48,49,39
1592,Patrick Sharp,LW,DAL,2015-16,76,1617,1106,59.4,7.9,22.9,21.2,1189,857,58.1,6.4,10.7,90.0,100.7,65.8,34.2,17.6,16,17,48.5,76,24,51,46
1593,Daniel Carcillo,LW,CHI,2011-12,28,305,240,56.0,5.1,12.2,11.4,233,177,56.8,5.2,10.5,94.1,104.6,64.1,35.9,11.4,2,2,50.0,76,9,8,2
1594,Nik Antropov,C,WPG,2012-13,40,574,583,49.6,-2.7,-0.8,-3.2,422,431,49.5,-3.0,9.7,92.1,101.8,58.7,41.3,16.0,128,176,42.1,76,27,15,19
1595,Cody McCormick,C,TOT,2013-14,43,196,415,32.1,-14.7,0.0,0.0,140,300,31.8,-14.4,9.5,91.0,100.6,33.3,66.7,,89,109,44.9,76,21,7,4
1596,Melker Karlsson,C,SJS,2015-16,65,729,835,46.6,-10.6,-7.2,-15.6,538,580,48.1,-10.1,8.2,92.8,100.9,44.8,55.2,13.5,11,12,47.8,76,48,24,14
1597,Brad Boyes,C,STL,2009-10,82,1536,1097,58.3,9.9,19.1,20.7,1155,858,57.4,9.0,9.7,91.0,100.7,64.3,35.7,16.8,138,173,44.4,76,18,46,31
1598,Andrew Ladd,LW,WPG,2011-12,82,1764,1327,57.1,9.4,16.3,18.9,1335,1019,56.7,7.9,8.3,89.7,98.0,59.7,40.3,19.6,32,27,54.2,76,25,40,43
1599,Mikkel Boedker,LW,PHX,2008-09,78,1022,1116,47.8,0.9,-4.7,-1.3,760,857,47.0,0.2,9.0,91.6,100.5,51.2,48.8,15.3,1,7,12.5,76,9,41,8
1600,Patrick Marleau,C,SJS,2009-10,82,1923,1602,54.6,3.4,11.2,9.8,1442,1229,54.0,3.9,11.3,91.9,103.2,51.5,48.5,20.9,316,299,51.4,76,33,53,69
1601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,Rod Brind'Amour,C,CAR,2008-09,80,1518,1327,53.4,-0.8,7.5,2.3,1095,1013,51.9,-3.3,9.0,88.8,97.8,53.0,47.0,19.0,908,580,61.0,76,35,40,40
1603,Patrick Sharp,C,CHI,2010-11,74,1534,1124,57.7,7.5,17.1,16.9,1184,862,57.9,7.0,11.1,89.3,100.4,73.5,26.5,19.4,244,264,48.0,76,26,64,23
1604,Andrew Cogliano,C,EDM,2009-10,82,1011,1204,45.6,-0.6,-10.1,-5.7,750,915,45.0,-1.7,9.1,91.5,100.6,49.8,50.2,14.0,160,211,43.1,76,28,32,52
1605,Carl Soderberg,C,BOS,2014-15,82,1430,1066,57.3,7.3,15.9,15.9,1044,813,56.2,7.0,9.6,92.6,102.2,60.6,39.4,16.8,369,389,48.7,76,36,33,27
1606,Taylor Pyatt,LW,VAN,2007-08,79,1073,1020,51.3,1.0,2.6,2.3,848,780,52.1,1.5,9.9,92.7,102.6,60.0,40.0,15.8,12,24,33.3,76,45,39,25
1607,Alex Killorn,C,TBL,2015-16,81,1398,1066,56.7,5.8,14.6,13.6,1026,813,55.8,5.3,10.4,92.1,102.5,58.8,41.2,16.8,31,49,38.8,76,23,31,46
1608,Zach Parise,LW,NJD,2007-08,81,1629,939,63.4,15.2,28.3,29.9,1253,724,63.4,16.0,10.0,91.0,101.0,71.0,29.0,18.0,50,54,48.1,76,30,45,30
1609,Eric Nystrom,LW,CGY,2008-09,76,545,642,45.9,-12.1,-8.4,-17.1,401,519,43.6,-12.6,4.2,92.2,96.4,53.6,46.4,9.1,11,18,37.9,76,35,18,14
1610,Todd Fedoruk,LW,TOT,2007-08,69,574,552,51.0,0.8,0.0,0.0,445,447,49.9,-0.3,10.7,92.8,103.5,55.9,44.1,,0,4,0.0,76,16,5,19
1611,Jason Blake,C,ANA,2010-11,76,1027,1041,49.7,4.5,-0.7,4.3,792,801,49.7,2.9,9.4,92.3,101.6,57.7,42.3,14.8,1,4,20.0,76,27,34,36
1612,Mathieu Perreault,C,WPG,2014-15,62,1172,657,64.1,15.9,30.7,34.6,850,505,62.7,15.2,9.2,91.6,100.8,60.9,39.1,16.2,224,210,51.6,75,13,42,20
1613,Artem Anisimov,C,NYR,2011-12,79,1075,1070,50.1,0.0,0.2,0.1,833,754,52.5,0.8,8.8,93.2,102.0,55.1,44.9,15.4,161,184,46.7,75,46,37,14
1614,Steven Stamkos,C,TBL,2008-09,79,1160,953,54.9,9.8,10.5,15.9,892,748,54.4,9.0,10.3,90.8,101.1,69.3,30.7,14.9,253,304,45.4,75,17,49,33
1615,Daymond Langkow,C,CGY,2007-08,80,1639,926,63.9,15.3,28.4,29.7,1258,751,62.6,15.1,11.7,90.8,102.5,66.9,33.1,18.8,357,460,43.7,75,37,52,43
1616,Josef Vasicek,C,NYI,2007-08,81,1247,1112,52.9,1.9,6.3,5.3,898,871,50.8,0.2,7.6,92.1,99.7,47.7,52.3,15.8,615,489,55.7,75,31,58,29
1617,Travis Moen,LW,MTL,2011-12,48,535,801,40.0,-14.7,-21.2,-26.4,398,536,42.6,-13.1,8.9,90.5,99.4,32.7,67.3,15.7,5,7,41.7,75,41,13,13
1618,Michal Handzus,C,LAK,2008-09,82,1373,1432,48.9,-5.4,-2.3,-7.0,1029,1095,48.4,-6.1,11.4,89.9,101.3,41.8,58.2,18.9,719,601,54.5,75,69,28,51
1619,Andrew Murray,C,CBJ,2009-10,46,354,392,47.5,-3.9,-4.9,-6.6,284,312,47.7,-3.3,3.2,91.8,95.0,39.3,60.7,10.1,49,69,41.5,75,11,3,3
1620,Antoine Roussel,C,DAL,2012-13,39,287,381,43.0,-5.9,-15.4,-14.0,214,290,42.5,-5.1,11.3,91.0,102.3,40.5,59.5,9.4,30,25,54.5,75,16,12,8
1621,Alex Chiasson,RW,DAL,2013-14,79,1339,945,58.6,8.6,20.0,20.0,991,740,57.3,6.7,8.9,88.1,96.9,67.2,32.8,14.9,64,68,48.5,75,21,26,25
1622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,Fredrik Sjostrom,RW,TOT,2009-10,65,522,650,44.5,-8.4,0.0,0.0,400,473,45.8,-5.7,6.4,91.4,97.8,45.4,54.6,,0,7,0.0,75,35,15,13
1624,Garrett Wilson,LW,FLA,2015-16,29,212,204,51.0,1.5,1.8,2.2,165,157,51.2,1.2,2.6,94.9,97.5,61.7,38.3,9.4,0,1,0.0,75,4,2,2
1625,David Krejci,C,BOS,2013-14,80,1729,1327,56.6,4.8,15.8,13.9,1260,1002,55.7,3.5,11.4,94.6,106.0,59.6,40.4,19.1,618,590,51.2,75,56,45,48
1626,Daniel Winnik,C,PHX,2007-08,79,879,1089,44.7,-8.1,-11.3,-14.3,687,822,45.5,-6.8,6.8,90.4,97.2,47.5,52.5,14.1,65,89,42.2,75,46,30,17
1627,Joel Ward,RW,WSH,2011-12,73,728,819,47.1,-1.9,-6.0,-4.9,531,590,47.4,-1.9,8.3,94.0,102.3,44.5,55.5,12.4,29,23,55.8,75,41,35,21
1628,Raffi Torres,LW,CBJ,2008-09,51,537,469,53.4,0.7,6.6,3.6,409,346,54.2,1.4,7.7,89.4,97.2,58.9,41.1,12.1,11,8,57.9,75,7,5,11
1629,Ryan Malone,LW,TBL,2013-14,57,652,571,53.3,4.0,7.2,7.8,499,412,54.8,4.9,7.5,89.7,97.3,61.0,39.0,11.8,2,5,28.6,75,26,11,23
1630,D.J. King,LW,STL,2007-08,61,220,255,46.3,-3.1,-6.1,-5.6,177,193,47.8,-2.9,6.8,90.2,97.0,58.4,41.6,5.6,2,5,28.6,75,3,4,0
1631,Trevor Smith,C,TOR,2014-15,54,433,633,40.6,-7.1,-20.1,-14.9,328,468,41.2,-5.9,5.6,89.9,95.5,38.6,61.4,11.1,293,268,52.2,75,25,18,8
1632,Jiri Sekac,LW,TOT,2014-15,69,810,804,50.2,0.2,0.0,0.0,589,578,50.5,0.1,8.2,92.8,101.0,49.4,50.6,,0,2,0.0,75,29,26,27
1633,Matt Stajan,C,TOT,2009-10,82,1679,1354,55.4,2.4,0.0,0.0,1261,1023,55.2,2.9,9.8,87.8,97.6,59.4,40.6,,680,637,51.6,75,41,40,44
1634,Pavel Datsyuk,C,DET,2008-09,81,1860,1040,64.1,9.2,32.0,26.9,1440,839,63.2,8.6,13.1,89.2,102.3,60.0,40.0,19.0,621,489,55.9,75,33,89,49
1635,Michal Handzus,C,LAK,2009-10,81,1103,1349,45.0,-10.0,-10.1,-15.2,838,1013,45.3,-10.4,11.4,88.8,100.2,39.8,60.2,18.1,691,661,51.1,75,60,37,60
1636,Jay McClement,C,TOT,2010-11,80,960,1466,39.6,-16.4,0.0,0.0,734,1098,40.1,-15.2,7.1,88.7,95.8,28.3,71.7,,595,557,51.6,75,63,37,21
1637,Martin Erat,RW,TOT,2013-14,70,889,901,49.7,1.2,0.0,0.0,680,679,50.0,1.8,8.2,92.6,100.9,53.3,46.7,,97,116,45.5,75,25,16,14
1638,Matt Pettinger,LW,TOT,2007-08,76,867,994,46.6,-9.6,0.0,0.0,640,769,45.4,-11.3,6.5,91.4,97.9,52.2,47.8,,11,8,57.9,75,35,25,12
1639,Casey Cizikas,C,NYI,2012-13,45,384,460,45.5,-8.0,-9.4,-13.4,285,327,46.6,-7.3,10.3,89.1,99.5,42.0,58.0,10.8,144,132,52.2,75,21,21,6
1640,Ryan Johnson,C,STL,2007-08,79,592,1240,32.3,-20.6,-34.3,-37.1,464,882,34.5,-19.0,7.4,90.7,98.1,28.2,71.8,14.4,438,365,54.5,74,105,23,14
1641,Vincent Lecavalier,C,TBL,2012-13,39,658,603,52.2,8.0,4.7,10.3,511,473,51.9,7.4,13.1,89.3,102.4,60.0,40.0,17.9,404,338,54.4,74,13,12,7
1642,Paul Stastny,C,COL,2010-11,74,1387,1328,51.1,5.1,2.4,6.7,1045,1020,50.6,4.2,11.2,89.1,100.3,54.9,45.1,19.7,810,714,53.1,74,31,52,22
1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1644,Jiri Novotny,C,CBJ,2008-09,42,418,424,49.6,-0.9,-0.6,-1.1,332,326,50.5,-0.4,6.5,93.0,99.5,52.6,47.4,13.3,155,138,52.9,74,15,8,5
1645,David Krejci,C,BOS,2008-09,82,1301,1166,52.7,2.9,5.9,6.1,1000,869,53.5,3.9,13.1,93.0,106.1,53.3,46.7,16.7,526,517,50.4,74,46,37,23
1646,Blake Wheeler,RW,TOT,2010-11,81,1348,1218,52.5,-1.4,0.0,0.0,1023,900,53.2,-0.6,7.7,92.0,99.6,55.9,44.1,,52,96,35.1,74,47,40,29
1647,Patrick Sharp,LW,CHI,2014-15,68,1381,861,61.6,10.4,27.3,24.8,982,673,59.3,9.0,8.3,90.1,98.4,73.1,26.9,16.8,53,55,49.1,74,15,38,25
1648,Reilly Smith,RW,BOS,2014-15,81,1417,935,60.2,11.0,23.2,24.7,1026,711,59.1,10.5,8.7,91.4,100.2,60.3,39.7,15.4,2,5,28.6,74,39,34,34
1649,Michael Peca,C,CBJ,2007-08,65,952,1010,48.5,-4.5,-2.9,-5.5,730,762,48.9,-3.1,10.1,90.4,100.5,44.2,55.8,18.6,571,513,52.7,74,57,28,18
1650,Matt Stajan,C,CGY,2013-14,63,948,1208,44.0,-5.1,-13.5,-12.5,723,855,45.8,-4.2,8.3,88.6,96.9,33.0,67.0,18.4,527,569,48.1,74,36,49,40
1651,Manny Malhotra,C,CBJ,2008-09,77,1056,1251,45.8,-10.3,-8.4,-14.8,819,924,47.0,-8.4,9.7,90.5,100.3,37.1,62.9,18.0,801,578,58.1,74,52,40,19
1652,Jeff Carter,C,LAK,2014-15,82,1673,1185,58.5,6.7,19.9,16.2,1263,914,58.0,6.7,10.1,89.9,100.0,60.4,39.6,18.0,602,577,51.1,74,32,29,42
1653,Austin Watson,LW,NSH,2015-16,57,381,525,42.1,-13.7,-15.2,-20.4,277,348,44.3,-12.1,8.8,88.5,97.3,17.8,82.2,10.0,6,7,46.2,74,45,11,10
1654,Eric Staal,C,CAR,2009-10,70,1620,1319,55.1,9.4,12.7,17.3,1180,1016,53.7,8.9,11.8,89.5,101.3,61.2,38.8,20.4,479,667,41.8,74,17,45,42
1655,Jonathan Toews,C,CHI,2010-11,80,1775,1317,57.4,6.1,16.5,15.3,1355,998,57.6,5.8,11.6,91.1,102.7,62.3,37.7,20.8,937,716,56.7,74,28,93,30
1656,Artem Anisimov,C,NYR,2010-11,82,1248,1128,52.5,1.1,5.4,3.9,959,836,53.4,0.2,9.3,91.5,100.8,54.0,46.0,16.2,306,382,44.5,74,45,46,16
1657,Eric Staal,C,TOT,2015-16,83,1769,1182,59.9,11.5,0.0,0.0,1310,911,59.0,10.7,7.6,91.2,98.8,64.2,35.8,,446,396,53.0,74,33,62,39
1658,Ryan Jones,LW,EDM,2013-14,52,374,565,39.8,-8.8,-22.4,-20.9,269,433,38.3,-9.6,8.2,94.1,102.3,36.7,63.3,9.8,2,4,33.3,74,21,15,18
1659,Colby Armstrong,RW,ATL,2009-10,79,974,1129,46.3,-4.8,-8.0,-9.2,735,874,45.7,-4.6,9.3,91.2,100.5,42.5,57.5,14.8,10,10,50.0,74,29,61,22
1660,Mikael Samuelsson,RW,DET,2007-08,73,1319,682,65.9,6.3,32.2,22.6,1045,530,66.3,6.8,8.7,93.6,102.3,69.2,30.8,16.3,6,8,42.9,74,21,20,29
1661,Cam Janssen,RW,NJD,2011-12,48,126,168,42.9,-10.9,-11.2,-14.3,95,129,42.4,-11.5,2.9,89.1,92.0,60.8,39.2,4.7,2,3,40.0,74,3,2,4
1662,Brock Nelson,C,NYI,2013-14,72,1051,841,55.5,4.8,12.3,11.5,760,598,56.0,5.8,8.2,88.6,96.7,54.2,45.8,14.3,191,260,42.4,74,38,32,23
1663,Tomas Tatar,LW,DET,2015-16,81,1252,739,62.9,12.8,26.5,26.4,952,607,61.1,11.4,9.8,90.9,100.7,68.1,31.9,14.4,6,18,25.0,74,18,30,24
1664,Nathan Horton,C,BOS,2010-11,80,1545,1039,59.8,9.8,23.3,23.3,1140,806,58.6,8.9,10.3,93.2,103.5,61.6,38.4,16.3,8,11,42.1,74,14,26,25
1665,Mike Knuble,RW,WSH,2010-11,79,1506,1267,54.3,3.3,10.3,9.0,1099,929,54.2,3.0,7.9,93.3,101.2,62.1,37.9,17.7,10,23,30.3,74,30,45,18
1666,Rod Pelley,C,NJD,2007-08,58,316,468,40.3,-15.6,-16.9,-22.1,250,381,39.6,-15.9,3.8,93.7,97.5,53.1,46.9,9.3,150,171,46.7,73,12,13,4
1667,Evgeny Kuznetsov,C,WSH,2015-16,82,1561,1147,57.6,9.0,17.4,18.9,1189,836,58.7,9.4,12.1,91.0,103.2,61.8,38.2,17.4,543,594,47.8,73,29,61,54
1668,Alexandre Burrows,RW,VAN,2014-15,70,1054,897,54.0,6.5,8.7,13.8,787,651,54.7,6.2,8.9,89.9,98.7,53.4,46.6,15.5,6,8,42.9,73,33,33,24
1669,Darren Helm,C,DET,2013-14,42,517,547,48.6,-5.4,-2.8,-6.8,387,422,47.8,-6.8,11.0,90.0,101.0,45.1,54.9,15.2,269,279,49.1,73,16,17,13
1670,Marian Hossa,RW,CHI,2011-12,81,1609,1318,55.0,2.1,10.8,7.9,1184,998,54.3,1.8,10.7,90.2,100.9,60.0,40.0,20.0,3,6,33.3,73,40,94,29
1671,Brad Marchand,LW,BOS,2013-14,82,1331,1039,56.2,3.0,13.4,10.0,1003,788,56.0,2.9,9.7,92.6,102.3,47.7,52.3,15.9,6,17,26.1,73,23,46,51
1672,Shawn Thornton,LW,FLA,2015-16,50,302,326,48.1,-3.7,-3.3,-5.2,245,255,49.0,-2.8,4.3,94.9,99.2,58.6,41.4,8.7,6,7,46.2,73,2,9,4
1673,Marcel Goc,C,FLA,2012-13,42,648,699,48.1,-3.3,-4.0,-5.5,477,543,46.8,-4.7,9.9,88.4,98.3,48.4,51.6,18.3,410,376,52.2,73,20,21,11
1674,Adam Henrique,C,NJD,2013-14,77,1160,1064,52.2,-0.5,4.1,2.1,868,799,52.1,-0.9,10.6,90.3,100.9,50.1,49.9,18.1,407,511,44.3,73,50,50,30
1675,Mathieu Darche,LW,MTL,2010-11,59,753,538,58.3,8.0,19.4,19.0,548,361,60.3,9.0,10.5,92.5,103.1,60.6,39.4,11.3,7,14,33.3,73,30,15,10
